"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"1995","27","27000","Minnesota","NA","403,056","373,870","432,243","373,870 to 432,243","8.7","8.1","9.3","8.1 to 9.3","NA","148,434","133,016","163,852","133,016 to 163,852","11.7","10.5","12.9","10.5 to 12.9","NA","95,681","85,073","106,289","85,073 to 106,289","10.3","9.2","11.5","9.2 to 11.5","NA","42,729","31,446","54,013","31,446 to 54,013","13.0","9.6","16.5","9.6 to 16.5","$37,483","$35,825","$39,141","$35,825 to $39,141"
"1993","27","27000","Minnesota","NA","491,839","451,087","532,591","451,087 to 532,591","10.8","9.9","11.7","9.9 to 11.7","NA","185,224","164,303","206,145","164,303 to 206,145","14.7","13.0","16.3","13.0 to 16.3","NA","118,252","100,859","135,645","100,859 to 135,645","12.9","11.0","14.8","11.0 to 14.8","NA","60,598","53,676","67,520","53,676 to 67,520","18.0","15.9","20.0","15.9 to 20.0","$33,239","$31,979","$34,499","$31,979 to $34,499"
"1989","27","27000","Minnesota","NA","414,214","394,144","434,284","394,144 to 434,284","9.6","9.1","10.0","9.1 to 10.0","NA","165,531","151,902","179,160","151,902 to 179,160","14.0","12.9","15.2","12.9 to 15.2","NA","97,590","86,786","108,394","86,786 to 108,394","11.9","10.6","13.2","10.6 to 13.2","NA","59,463","50,450","68,476","50,450 to 68,476","17.1","14.5","19.7","14.5 to 19.7","$30,536","$29,355","$31,717","$29,355 to $31,717"
"2014","28","28000","Mississippi","2,895,486","634,960","621,876","648,044","621,876 to 648,044","21.9","21.4","22.4","21.4 to 22.4","719,646","220,885","213,417","228,353","213,417 to 228,353","30.7","29.7","31.7","29.7 to 31.7","524,891","154,129","147,643","160,615","147,643 to 160,615","29.4","28.2","30.6","28.2 to 30.6","191,161","63,695","60,086","67,304","60,086 to 67,304","33.3","31.4","35.2","31.4 to 35.2","$39,738","$38,998","$40,478","$38,998 to $40,478"
"2013","28","28000","Mississippi","2,893,762","692,058","677,339","706,777","677,339 to 706,777","23.9","23.4","24.4","23.4 to 24.4","725,052","246,458","238,828","254,088","238,828 to 254,088","34.0","32.9","35.1","32.9 to 35.1","526,816","170,629","164,008","177,250","164,008 to 177,250","32.4","31.1","33.7","31.1 to 33.7","194,729","72,742","68,984","76,500","68,984 to 76,500","37.4","35.5","39.3","35.5 to 39.3","$38,191","$37,229","$39,153","$37,229 to $39,153"
"2012","28","28000","Mississippi","2,890,915","689,116","675,487","702,745","675,487 to 702,745","23.8","23.3","24.3","23.3 to 24.3","734,559","249,060","241,062","257,058","241,062 to 257,058","33.9","32.8","35.0","32.8 to 35.0","532,938","171,183","164,008","178,358","164,008 to 178,358","32.1","30.8","33.4","30.8 to 33.4","199,988","75,674","72,190","79,158","72,190 to 79,158","37.8","36.1","39.5","36.1 to 39.5","$37,179","$36,612","$37,746","$36,612 to $37,746"
"2011","28","28000","Mississippi","2,884,231","658,232","644,769","671,695","644,769 to 671,695","22.8","22.3","23.3","22.3 to 23.3","738,431","239,159","232,199","246,119","232,199 to 246,119","32.4","31.5","33.3","31.5 to 33.3","529,478","161,086","155,039","167,133","155,039 to 167,133","30.4","29.3","31.5","29.3 to 31.5","205,355","74,943","71,275","78,611","71,275 to 78,611","36.5","34.7","38.3","34.7 to 38.3","$36,963","$36,399","$37,527","$36,399 to $37,527"
"2010","28","28000","Mississippi","2,875,607","644,156","629,743","658,569","629,743 to 658,569","22.4","21.9","22.9","21.9 to 22.9","742,215","240,782","232,859","248,705","232,859 to 248,705","32.4","31.3","33.5","31.3 to 33.5","531,264","160,282","153,313","167,251","153,313 to 167,251","30.2","28.9","31.5","28.9 to 31.5","207,940","77,993","74,484","81,502","74,484 to 81,502","37.5","35.8","39.2","35.8 to 39.2","$36,992","$36,390","$37,594","$36,390 to $37,594"
"2009","28","28000","Mississippi","2,848,331","620,446","608,393","632,500","608,393 to 632,500","21.8","21.4","22.2","21.4 to 22.2","750,707","230,409","223,165","237,652","223,165 to 237,652","30.7","29.7","31.7","29.7 to 31.7","530,082","153,333","147,072","159,594","147,072 to 159,594","28.9","27.7","30.1","27.7 to 30.1","217,026","73,959","70,194","77,724","70,194 to 77,724","34.1","32.3","35.8","32.3 to 35.8","$36,764","$36,105","$37,423","$36,105 to $37,423"
"2008","28","28000","Mississippi","2,838,789","590,480","575,895","605,064","575,895 to 605,064","20.8","20.3","21.3","20.3 to 21.3","753,800","222,716","214,976","230,455","214,976 to 230,455","29.5","28.5","30.6","28.5 to 30.6","533,754","148,122","141,257","154,987","141,257 to 154,987","27.8","26.5","29.0","26.5 to 29.0","217,165","72,081","68,399","75,764","68,399 to 75,764","33.2","31.5","34.9","31.5 to 34.9","$37,818","$37,160","$38,477","$37,160 to $38,477"
"2007","28","28000","Mississippi","2,821,607","583,360","571,828","594,892","571,828 to 594,892","20.7","20.3","21.1","20.3 to 21.1","753,847","221,496","214,828","228,165","214,828 to 228,165","29.4","28.5","30.3","28.5 to 30.3","533,218","144,806","138,895","150,717","138,895 to 150,717","27.2","26.0","28.3","26.0 to 28.3","214,964","72,506","69,396","75,616","69,396 to 75,616","33.7","32.3","35.2","32.3 to 35.2","$36,424","$35,775","$37,073","$35,775 to $37,073"
"2006","28","28000","Mississippi","2,815,411","588,288","576,485","600,090","576,485 to 600,090","20.9","20.5","21.3","20.5 to 21.3","746,002","220,128","213,339","226,918","213,339 to 226,918","29.5","28.6","30.4","28.6 to 30.4","536,191","149,554","143,307","155,801","143,307 to 155,801","27.9","26.7","29.1","26.7 to 29.1","205,432","67,198","64,254","70,141","64,254 to 70,141","32.7","31.3","34.1","31.3 to 34.1","$34,615","$34,033","$35,197","$34,033 to $35,197"
"2005","28","28000","Mississippi","2,812,799","591,549","580,591","602,508","580,591 to 602,508","21.0","20.6","21.4","20.6 to 21.4","732,464","221,246","214,448","228,044","214,448 to 228,044","30.2","29.3","31.1","29.3 to 31.1","519,709","148,662","142,886","154,438","142,886 to 154,438","28.6","27.5","29.7","27.5 to 29.7","208,625","69,557","66,262","72,851","66,262 to 72,851","33.3","31.8","34.9","31.8 to 34.9","$33,090","$32,508","$33,673","$32,508 to $33,673"
"2004","28","28000","Mississippi","2,847,984","549,224","517,558","580,889","517,558 to 580,889","19.3","18.2","20.4","18.2 to 20.4","744,577","212,865","195,829","229,900","195,829 to 229,900","28.6","26.3","30.9","26.3 to 30.9","524,800","142,059","126,881","157,237","126,881 to 157,237","27.1","24.2","30.0","24.2 to 30.0","209,679","64,627","56,924","72,330","56,924 to 72,330","30.8","27.1","34.5","27.1 to 34.5","$34,278","$32,660","$35,896","$32,660 to $35,896"
"2003","28","28000","Mississippi","2,830,299","518,238","493,338","543,138","493,338 to 543,138","18.3","17.4","19.2","17.4 to 19.2","747,612","200,496","186,835","214,158","186,835 to 214,158","26.8","25.0","28.6","25.0 to 28.6","535,624","139,374","128,684","150,064","128,684 to 150,064","26.0","24.0","28.0","24.0 to 28.0","205,743","57,683","49,290","66,076","49,290 to 66,076","28.0","24.0","32.1","24.0 to 32.1","$32,397","$30,862","$33,933","$30,862 to $33,933"
"2002","28","28000","Mississippi","2,817,220","531,561","506,743","556,378","506,743 to 556,378","18.9","18.0","19.7","18.0 to 19.7","760,894","206,914","192,936","220,891","192,936 to 220,891","27.2","25.4","29.0","25.4 to 29.0","550,005","134,767","122,949","146,585","122,949 to 146,585","24.5","22.4","26.7","22.4 to 26.7","209,806","67,373","59,935","74,812","59,935 to 74,812","32.1","28.6","35.7","28.6 to 35.7","$31,434","$29,705","$33,163","$29,705 to $33,163"
"2001","28","28000","Mississippi","2,789,055","530,254","506,866","553,641","506,866 to 553,641","19.0","18.2","19.9","18.2 to 19.9","752,879","200,491","184,492","216,490","184,492 to 216,490","26.6","24.5","28.8","24.5 to 28.8","544,006","134,309","120,193","148,425","120,193 to 148,425","24.7","22.1","27.3","22.1 to 27.3","204,741","61,454","54,995","67,913","54,995 to 67,913","30.0","26.9","33.2","26.9 to 33.2","$30,877","$29,362","$32,392","$29,362 to $32,392"
"2000","28","28000","Mississippi","2,781,605","489,775","466,014","513,535","466,014 to 513,535","17.6","16.8","18.5","16.8 to 18.5","754,412","187,514","173,394","201,634","173,394 to 201,634","24.9","23.0","26.7","23.0 to 26.7","543,036","125,571","113,211","137,931","113,211 to 137,931","23.1","20.8","25.4","20.8 to 25.4","205,117","58,004","51,117","64,891","51,117 to 64,891","28.3","24.9","31.6","24.9 to 31.6","$32,542","$30,566","$34,518","$30,566 to $34,518"
"1999","28","28000","Mississippi","2,780,646","505,676","473,087","538,266","473,087 to 538,266","18.2","17.0","19.4","17.0 to 19.4","769,637","200,883","177,659","224,106","177,659 to 224,106","26.1","23.1","29.1","23.1 to 29.1","552,490","140,009","119,557","160,461","119,557 to 160,461","25.3","21.6","29.0","21.6 to 29.0","203,232","57,090","46,362","67,818","46,362 to 67,818","28.1","22.8","33.4","22.8 to 33.4","$30,739","$29,224","$32,254","$29,224 to $32,254"
"1998","28","28000","Mississippi","2,751,183","483,335","451,681","514,989","451,681 to 514,989","17.6","16.4","18.7","16.4 to 18.7","770,438","184,010","163,118","204,902","163,118 to 204,902","23.9","21.2","26.6","21.2 to 26.6","558,915","119,031","100,912","137,150","100,912 to 137,150","21.3","18.1","24.5","18.1 to 24.5","206,130","60,390","50,334","70,447","50,334 to 70,447","29.3","24.4","34.2","24.4 to 34.2","$28,925","$27,252","$30,598","$27,252 to $30,598"
"1997","28","28000","Mississippi","NA","494,044","460,916","527,172","460,916 to 527,172","18.1","16.9","19.3","16.9 to 19.3","NA","188,272","169,364","207,180","169,364 to 207,180","24.5","22.0","26.9","22.0 to 26.9","NA","124,209","108,339","140,079","108,339 to 140,079","22.6","19.7","25.5","19.7 to 25.5","NA","58,311","48,452","68,171","48,452 to 68,171","28.0","23.3","32.7","23.3 to 32.7","$28,527","$26,928","$30,127","$26,928 to $30,127"
"1996","28","28000","Mississippi","NA","567,049","533,581","600,518","533,581 to 600,518","20.8","19.6","22.1","19.6 to 22.1","NA","232,548","212,148","252,948","212,148 to 252,948","29.9","27.3","32.6","27.3 to 32.6","NA","151,338","133,133","169,543","133,133 to 169,543","27.2","24.0","30.5","24.0 to 30.5","NA","74,232","64,171","84,293","64,171 to 84,293","35.3","30.5","40.1","30.5 to 40.1","$26,901","$25,195","$28,607","$25,195 to $28,607"
"1995","28","28000","Mississippi","NA","576,301","543,456","609,147","543,456 to 609,147","21.4","20.1","22.6","20.1 to 22.6","NA","240,084","233,120","247,047","233,120 to 247,047","31.0","30.1","31.9","30.1 to 31.9","NA","155,334","140,357","170,311","140,357 to 170,311","28.1","25.4","30.8","25.4 to 30.8","NA","76,346","75,348","77,344","75,348 to 77,344","36.1","35.7","36.6","35.7 to 36.6","$26,501","$25,016","$27,986","$25,016 to $27,986"
"1993","28","28000","Mississippi","NA","654,570","617,924","691,216","617,924 to 691,216","24.6","23.2","26.0","23.2 to 26.0","NA","261,597","240,013","283,181","240,013 to 283,181","33.9","31.1","36.7","31.1 to 36.7","NA","170,944","152,946","188,942","152,946 to 188,942","31.1","27.8","34.4","27.8 to 34.4","NA","82,206","71,976","92,436","71,976 to 92,436","38.6","33.8","43.4","33.8 to 43.4","$22,957","$21,741","$24,173","$21,741 to $24,173"
"1989","28","28000","Mississippi","NA","626,022","596,250","655,794","596,250 to 655,794","24.6","23.4","25.8","23.4 to 25.8","NA","257,959","238,479","277,439","238,479 to 277,439","34.1","31.5","36.6","31.5 to 36.6","NA","177,767","160,779","194,755","160,779 to 194,755","32.4","29.3","35.5","29.3 to 35.5","NA","76,839","67,452","86,226","67,452 to 86,226","38.2","33.5","42.8","33.5 to 42.8","$19,874","$18,731","$21,017","$18,731 to $21,017"
"2014","29","29000","Missouri","5,878,633","908,394","890,929","925,859","890,929 to 925,859","15.5","15.2","15.8","15.2 to 15.8","1,360,550","289,287","279,932","298,642","279,932 to 298,642","21.3","20.6","22.0","20.6 to 22.0","987,447","192,099","184,094","200,104","184,094 to 200,104","19.5","18.7","20.3","18.7 to 20.3","364,574","89,931","85,139","94,723","85,139 to 94,723","24.7","23.4","26.0","23.4 to 26.0","$48,288","$47,734","$48,842","$47,734 to $48,842"
"2013","29","29000","Missouri","5,861,018","928,778","910,924","946,632","910,924 to 946,632","15.8","15.5","16.1","15.5 to 16.1","1,367,104","303,923","293,926","313,920","293,926 to 313,920","22.2","21.5","22.9","21.5 to 22.9","992,402","203,216","194,575","211,857","194,575 to 211,857","20.5","19.6","21.4","19.6 to 21.4","367,156","93,553","88,613","98,493","88,613 to 98,493","25.5","24.2","26.8","24.2 to 26.8","$46,905","$46,483","$47,327","$46,483 to $47,327"
"2012","29","29000","Missouri","5,838,007","945,435","928,975","961,895","928,975 to 961,895","16.2","15.9","16.5","15.9 to 16.5","1,371,363","310,382","301,946","318,818","301,946 to 318,818","22.6","22.0","23.2","22.0 to 23.2","995,317","205,173","197,856","212,490","197,856 to 212,490","20.6","19.9","21.3","19.9 to 21.3","368,552","98,447","94,270","102,624","94,270 to 102,624","26.7","25.6","27.8","25.6 to 27.8","$45,320","$44,909","$45,731","$44,909 to $45,731"
"2011","29","29000","Missouri","5,831,548","922,103","906,489","937,717","906,489 to 937,717","15.8","15.5","16.1","15.5 to 16.1","1,384,526","308,390","298,535","318,245","298,535 to 318,245","22.3","21.6","23.0","21.6 to 23.0","999,034","201,231","192,612","209,850","192,612 to 209,850","20.1","19.2","21.0","19.2 to 21.0","376,728","99,378","94,455","104,301","94,455 to 104,301","26.4","25.1","27.7","25.1 to 27.7","$45,231","$44,718","$45,744","$44,718 to $45,744"
"2010","29","29000","Missouri","5,817,777","888,471","872,312","904,630","872,312 to 904,630","15.3","15.0","15.6","15.0 to 15.6","1,396,566","293,856","284,167","303,545","284,167 to 303,545","21.0","20.3","21.7","20.3 to 21.7","1,010,426","186,633","178,336","194,930","178,336 to 194,930","18.5","17.7","19.3","17.7 to 19.3","379,182","100,603","95,787","105,419","95,787 to 105,419","26.5","25.2","27.8","25.2 to 27.8","$44,306","$43,819","$44,793","$43,819 to $44,793"
"2009","29","29000","Missouri","5,818,531","850,316","833,407","867,225","833,407 to 867,225","14.6","14.3","14.9","14.3 to 14.9","1,404,787","291,359","281,432","301,285","281,432 to 301,285","20.7","20.0","21.4","20.0 to 21.4","1,000,855","186,019","177,330","194,708","177,330 to 194,708","18.6","17.7","19.5","17.7 to 19.5","396,924","98,719","94,255","103,182","94,255 to 103,182","24.9","23.7","26.0","23.7 to 26.0","$45,149","$44,648","$45,650","$44,648 to $45,650"
"2008","29","29000","Missouri","5,738,716","774,937","760,251","789,624","760,251 to 789,624","13.5","13.2","13.8","13.2 to 13.8","1,391,751","263,006","254,429","271,583","254,429 to 271,583","18.9","18.3","19.5","18.3 to 19.5","995,970","165,418","157,984","172,852","157,984 to 172,852","16.6","15.9","17.4","15.9 to 17.4","387,868","89,996","85,725","94,267","85,725 to 94,267","23.2","22.1","24.3","22.1 to 24.3","$46,847","$46,477","$47,217","$46,477 to $47,217"
"2007","29","29000","Missouri","5,708,814","758,844","743,611","774,078","743,611 to 774,078","13.3","13.0","13.6","13.0 to 13.6","1,397,078","257,404","248,238","266,570","248,238 to 266,570","18.4","17.8","19.1","17.8 to 19.1","1,003,829","160,841","152,934","168,748","152,934 to 168,748","16.0","15.2","16.8","15.2 to 16.8","385,105","88,796","84,149","93,444","84,149 to 93,444","23.1","21.9","24.3","21.9 to 24.3","$45,012","$44,536","$45,487","$44,536 to $45,487"
"2006","29","29000","Missouri","5,674,560","783,101","767,350","798,852","767,350 to 798,852","13.8","13.5","14.1","13.5 to 14.1","1,390,460","267,968","258,905","277,032","258,905 to 277,032","19.3","18.6","19.9","18.6 to 19.9","1,001,748","173,091","164,960","181,222","164,960 to 181,222","17.3","16.5","18.1","16.5 to 18.1","380,197","86,413","82,313","90,512","82,313 to 90,512","22.7","21.7","23.8","21.7 to 23.8","$42,838","$42,404","$43,272","$42,404 to $43,272"
"2005","29","29000","Missouri","5,607,956","760,759","744,635","776,884","744,635 to 776,884","13.6","13.3","13.9","13.3 to 13.9","1,347,618","262,608","253,271","271,944","253,271 to 271,944","19.5","18.8","20.2","18.8 to 20.2","967,945","170,436","162,635","178,237","162,635 to 178,237","17.6","16.8","18.4","16.8 to 18.4","370,093","83,529","78,728","88,329","78,728 to 88,329","22.6","21.3","23.9","21.3 to 23.9","$41,946","$41,595","$42,297","$41,595 to $42,297"
"2004","29","29000","Missouri","5,673,220","735,642","682,855","788,428","682,855 to 788,428","13.0","12.0","13.9","12.0 to 13.9","1,373,135","253,884","229,252","278,516","229,252 to 278,516","18.5","16.7","20.3","16.7 to 20.3","973,399","158,877","137,721","180,033","137,721 to 180,033","16.3","14.1","18.5","14.1 to 18.5","372,468","81,672","69,738","93,606","69,738 to 93,606","21.9","18.7","25.1","18.7 to 25.1","$40,885","$39,423","$42,347","$39,423 to $42,347"
"2003","29","29000","Missouri","5,625,808","653,484","615,942","691,026","615,942 to 691,026","11.6","10.9","12.3","10.9 to 12.3","1,380,721","227,788","209,764","245,812","209,764 to 245,812","16.5","15.2","17.8","15.2 to 17.8","986,068","146,574","133,593","159,555","133,593 to 159,555","14.9","13.5","16.2","13.5 to 16.2","366,338","71,955","59,810","84,099","59,810 to 84,099","19.6","16.3","23.0","16.3 to 23.0","$40,870","$39,293","$42,447","$39,293 to $42,447"
"2002","29","29000","Missouri","5,588,748","630,617","591,082","670,153","591,082 to 670,153","11.3","10.6","12.0","10.6 to 12.0","1,407,822","220,473","202,213","238,732","202,213 to 238,732","15.7","14.4","17.0","14.4 to 17.0","1,017,208","142,882","127,736","158,028","127,736 to 158,028","14.0","12.6","15.5","12.6 to 15.5","372,893","69,736","59,566","79,906","59,566 to 79,906","18.7","16.0","21.4","16.0 to 21.4","$40,309","$38,438","$42,180","$38,438 to $42,180"
"2001","29","29000","Missouri","5,525,935","605,823","571,900","639,747","571,900 to 639,747","11.0","10.3","11.6","10.3 to 11.6","1,390,730","209,480","186,016","232,944","186,016 to 232,944","15.1","13.4","16.7","13.4 to 16.7","1,005,118","132,517","111,744","153,290","111,744 to 153,290","13.2","11.1","15.3","11.1 to 15.3","367,110","67,324","59,255","75,392","59,255 to 75,392","18.3","16.1","20.5","16.1 to 20.5","$39,652","$38,168","$41,136","$38,168 to $41,136"
"2000","29","29000","Missouri","5,505,391","581,207","547,547","614,868","547,547 to 614,868","10.6","9.9","11.2","9.9 to 11.2","1,394,679","206,913","188,480","225,346","188,480 to 225,346","14.8","13.5","16.2","13.5 to 16.2","1,000,163","129,402","113,503","145,301","113,503 to 145,301","12.9","11.3","14.5","11.3 to 14.5","364,100","67,556","58,374","76,738","58,374 to 76,738","18.6","16.0","21.1","16.0 to 21.1","$40,411","$38,171","$42,651","$38,171 to $42,651"
"1999","29","29000","Missouri","5,484,837","627,643","579,193","676,094","579,193 to 676,094","11.4","10.6","12.3","10.6 to 12.3","1,417,573","236,228","202,749","269,706","202,749 to 269,706","16.7","14.3","19.0","14.3 to 19.0","1,039,412","160,375","130,664","190,086","130,664 to 190,086","15.4","12.6","18.3","12.6 to 18.3","367,098","66,337","51,154","81,520","51,154 to 81,520","18.1","13.9","22.2","13.9 to 22.2","$37,885","$36,370","$39,400","$36,370 to $39,400"
"1998","29","29000","Missouri","5,432,071","633,505","582,436","684,573","582,436 to 684,573","11.7","10.7","12.6","10.7 to 12.6","1,438,868","242,037","209,279","274,796","209,279 to 274,796","16.8","14.5","19.1","14.5 to 19.1","1,048,600","157,227","128,138","186,316","128,138 to 186,316","15.0","12.2","17.8","12.2 to 17.8","374,680","75,627","61,011","90,243","61,011 to 90,243","20.2","16.3","24.1","16.3 to 24.1","$37,186","$35,186","$39,187","$35,186 to $39,187"
"1997","29","29000","Missouri","NA","658,159","608,771","707,547","608,771 to 707,547","12.2","11.3","13.1","11.3 to 13.1","NA","252,485","227,332","277,638","227,332 to 277,638","17.7","15.9","19.4","15.9 to 19.4","NA","166,748","144,883","188,613","144,883 to 188,613","15.9","13.8","17.9","13.8 to 17.9","NA","74,124","61,865","86,384","61,865 to 86,384","19.9","16.6","23.2","16.6 to 23.2","$34,502","$32,729","$36,275","$32,729 to $36,275"
"1996","29","29000","Missouri","NA","673,280","622,829","723,731","622,829 to 723,731","12.6","11.6","13.5","11.6 to 13.5","NA","260,921","233,789","288,054","233,789 to 288,054","18.4","16.5","20.4","16.5 to 20.4","NA","166,992","141,943","192,041","141,943 to 192,041","16.1","13.7","18.5","13.7 to 18.5","NA","80,697","68,213","93,180","68,213 to 93,180","21.7","18.4","25.1","18.4 to 25.1","$32,947","$31,022","$34,872","$31,022 to $34,872"
"1995","29","29000","Missouri","NA","714,976","689,610","740,341","689,610 to 740,341","13.4","13.0","13.9","13.0 to 13.9","NA","279,162","261,955","296,369","261,955 to 296,369","19.8","18.5","21.0","18.5 to 21.0","NA","179,912","169,256","190,568","169,256 to 190,568","17.7","16.6","18.7","16.6 to 18.7","NA","86,744","73,145","100,343","73,145 to 100,343","22.8","19.2","26.4","19.2 to 26.4","$31,701","$30,147","$33,255","$30,147 to $33,255"
"1993","29","29000","Missouri","NA","791,796","747,509","836,083","747,509 to 836,083","15.1","14.2","15.9","14.2 to 15.9","NA","303,044","281,937","324,151","281,937 to 324,151","21.6","20.1","23.1","20.1 to 23.1","NA","191,869","174,690","209,048","174,690 to 209,048","19.4","17.7","21.2","17.7 to 21.2","NA","100,312","93,750","106,874","93,750 to 106,874","26.0","24.3","27.7","24.3 to 27.7","$28,542","$27,316","$29,768","$27,316 to $29,768"
"1989","29","29000","Missouri","NA","659,229","638,293","680,165","638,293 to 680,165","13.0","12.6","13.5","12.6 to 13.5","NA","251,328","238,821","263,835","238,821 to 263,835","18.9","18.0","19.9","18.0 to 19.9","NA","161,187","151,672","170,702","151,672 to 170,702","17.3","16.2","18.3","16.2 to 18.3","NA","79,912","70,749","89,075","70,749 to 89,075","21.0","18.6","23.4","18.6 to 23.4","$26,333","$25,163","$27,503","$25,163 to $27,503"
"2014","30","30000","Montana","997,959","151,915","146,451","157,379","146,451 to 157,379","15.2","14.7","15.7","14.7 to 15.7","219,300","42,150","39,999","44,301","39,999 to 44,301","19.2","18.2","20.2","18.2 to 20.2","158,197","28,508","26,711","30,305","26,711 to 30,305","18.0","16.9","19.1","16.9 to 19.1","59,857","12,452","11,325","13,579","11,325 to 13,579","20.8","18.9","22.7","18.9 to 22.7","$46,608","$45,512","$47,704","$45,512 to $47,704"
"2013","30","30000","Montana","990,608","159,248","153,605","164,891","153,605 to 164,891","16.1","15.5","16.7","15.5 to 16.7","219,248","45,588","42,894","48,282","42,894 to 48,282","20.8","19.6","22.0","19.6 to 22.0","159,086","30,655","28,348","32,962","28,348 to 32,962","19.3","17.8","20.8","17.8 to 20.8","59,157","13,782","12,481","15,083","12,481 to 15,083","23.3","21.1","25.5","21.1 to 25.5","$46,893","$45,853","$47,933","$45,853 to $47,933"
"2012","30","30000","Montana","980,556","153,105","148,141","158,069","148,141 to 158,069","15.6","15.1","16.1","15.1 to 16.1","217,171","45,923","43,663","48,183","43,663 to 48,183","21.1","20.1","22.1","20.1 to 22.1","156,253","30,052","28,091","32,013","28,091 to 32,013","19.2","17.9","20.5","17.9 to 20.5","59,330","14,621","13,556","15,686","13,556 to 15,686","24.6","22.8","26.4","22.8 to 26.4","$45,030","$44,048","$46,012","$44,048 to $46,012"
"2011","30","30000","Montana","974,049","148,183","142,865","153,501","142,865 to 153,501","15.2","14.7","15.7","14.7 to 15.7","218,012","45,645","43,286","48,004","43,286 to 48,004","20.9","19.8","22.0","19.8 to 22.0","155,470","29,528","27,502","31,554","27,502 to 31,554","19.0","17.7","20.3","17.7 to 20.3","60,955","14,704","13,437","15,971","13,437 to 15,971","24.1","22.0","26.2","22.0 to 26.2","$44,011","$43,041","$44,981","$43,041 to $44,981"
"2010","30","30000","Montana","964,505","146,257","140,628","151,886","140,628 to 151,886","15.2","14.6","15.8","14.6 to 15.8","218,735","46,183","43,543","48,823","43,543 to 48,823","21.1","19.9","22.3","19.9 to 22.3","155,659","29,085","26,726","31,444","26,726 to 31,444","18.7","17.2","20.2","17.2 to 20.2","61,072","15,720","14,501","16,939","14,501 to 16,939","25.7","23.7","27.7","23.7 to 27.7","$42,303","$41,341","$43,265","$41,341 to $43,265"
"2009","30","30000","Montana","946,384","142,257","136,769","147,745","136,769 to 147,745","15.0","14.5","15.6","14.5 to 15.6","214,489","44,840","42,310","47,369","42,310 to 47,369","20.9","19.7","22.1","19.7 to 22.1","151,621","27,924","25,872","29,976","25,872 to 29,976","18.4","17.1","19.8","17.1 to 19.8","61,225","15,620","14,203","17,037","14,203 to 17,037","25.5","23.2","27.8","23.2 to 27.8","$42,222","$41,282","$43,162","$41,282 to $43,162"
"2008","30","30000","Montana","942,904","132,971","127,999","137,943","127,999 to 137,943","14.1","13.6","14.6","13.6 to 14.6","216,489","41,477","39,136","43,818","39,136 to 43,818","19.2","18.1","20.2","18.1 to 20.2","153,838","26,032","23,957","28,107","23,957 to 28,107","16.9","15.6","18.3","15.6 to 18.3","60,075","13,678","12,568","14,789","12,568 to 14,789","22.8","20.9","24.6","20.9 to 24.6","$43,948","$42,796","$45,099","$42,796 to $45,099"
"2007","30","30000","Montana","933,276","131,433","126,905","135,961","126,905 to 135,961","14.1","13.6","14.6","13.6 to 14.6","215,572","40,834","38,728","42,940","38,728 to 42,940","18.9","18.0","19.9","18.0 to 19.9","155,672","25,988","24,073","27,903","24,073 to 27,903","16.7","15.5","17.9","15.5 to 17.9","58,041","13,336","12,452","14,221","12,452 to 14,221","23.0","21.5","24.5","21.5 to 24.5","$43,000","$42,078","$43,921","$42,078 to $43,921"
"2006","30","30000","Montana","921,455","132,537","128,341","136,733","128,341 to 136,733","14.4","13.9","14.8","13.9 to 14.8","213,991","41,287","39,165","43,409","39,165 to 43,409","19.3","18.3","20.3","18.3 to 20.3","154,789","26,185","24,293","28,077","24,293 to 28,077","16.9","15.7","18.1","15.7 to 18.1","56,992","13,309","12,273","14,346","12,273 to 14,346","23.4","21.5","25.2","21.5 to 25.2","$40,299","$39,637","$40,961","$39,637 to $40,961"
